name,pubchem_cid,UMAP1,UMAP2,pubchem_cid_clean,name_clean,valid_smiles_ring,ring_count,aromatic_ring_count,aliphatic_ring_count,has_ring,ring_category
vu0360172,53318624,6.4719605,6.897553,53318624,vu0360172,True,3.0,2.0,1.0,True,3 rings
mdms,9083,-1.132272,6.091023,9083,mdms,True,0.0,0.0,0.0,False,0 rings
loracarbef,5284585,7.4868145,2.4438753,5284585,loracarbef,True,3.0,1.0,2.0,True,3 rings
jk-184,1069686,8.046083,7.79459,1069686,jk-184,True,4.0,4.0,0.0,True,4+ rings
cilofexor,71228883,8.342708,7.234382,71228883,cilofexor,True,6.0,4.0,2.0,True,4+ rings
phenprocoumon,54681533,10.127485,2.051278,54681533,phenprocoumon,True,3.0,3.0,0.0,True,3 rings
sulmazole,11859211,8.127581,7.8994246,11859211,sulmazole,True,3.0,3.0,0.0,True,3 rings
vu0422288,73058507,8.138713,6.992473,73058507,vu0422288,True,3.0,3.0,0.0,True,3 rings
irsogladine,3752,6.514013,2.295806,3752,irsogladine,True,2.0,2.0,0.0,True,2 rings
tc-i-2014,135883253,6.703309,8.460409,135883253,tc-i-2014,True,5.0,3.0,2.0,True,4+ rings
cytarabine,6253,-2.5855794,8.064219,6253,cytarabine,True,2.0,1.0,1.0,True,2 rings
firocoxib,208910,7.878463,1.4552784,208910,firocoxib,True,3.0,1.0,2.0,True,3 rings
sennoside-a,132466065,10.794174,1.7376258,132466065,sennoside-a,True,8.0,6.0,2.0,True,4+ rings
trioxsalen,5585,10.553314,1.9832456,5585,trioxsalen,True,3.0,3.0,0.0,True,3 rings
m8-b,11675630,9.639024,3.1975257,11675630,m8-b,True,3.0,3.0,0.0,True,3 rings
dibutyl-phthalate,3026,7.881325,1.4298531,3026,dibutyl-phthalate,True,1.0,1.0,0.0,True,1 ring
flutamide,3397,6.8694806,3.585606,3397,flutamide,True,1.0,1.0,0.0,True,1 ring
gdc-0084,57384863,5.4007893,9.099,57384863,gdc-0084,True,5.0,3.0,2.0,True,4+ rings
ml9,4217,6.7235093,1.9696608,4217,ml9,True,3.0,2.0,1.0,True,3 rings
bms-986195,121293929,6.5347257,6.3734365,121293929,bms-986195,True,3.0,2.0,1.0,True,3 rings
at13387,11955716,9.364082,2.5804424,11955716,at13387,True,4.0,2.0,2.0,True,4+ rings
levobunolol-(+/-),5460339,9.421353,2.7220705,5460339,levobunolol-(+/-),True,2.0,1.0,1.0,True,2 rings
wye-687,25229450,6.08889,8.318188,25229450,wye-687,True,6.0,4.0,2.0,True,4+ rings
pantethine,452306,-1.6670485,6.9678926,452306,pantethine,True,0.0,0.0,0.0,False,0 rings
ppt,5040063,7.8780656,6.468769,5040063,ppt,True,4.0,4.0,0.0,True,4+ rings
cgh2466,5282339,6.3481483,7.3313704,5282339,cgh2466,True,3.0,3.0,0.0,True,3 rings
k02288,46173038,8.128552,7.279225,46173038,k02288,True,3.0,3.0,0.0,True,3 rings
gdc-0068,24788740,6.354561,7.9317856,24788740,gdc-0068,True,4.0,2.0,2.0,True,4+ rings
gallium-triquinolin-8-olate,9806063,7.5172753,6.554291,9806063,gallium-triquinolin-8-olate,True,6.0,6.0,0.0,True,4+ rings
torcitabine,13711,-2.593557,8.072702,13711,torcitabine,True,2.0,1.0,1.0,True,2 rings
rs-504393,9953769,7.8815947,6.6086516,9953769,rs-504393,True,5.0,3.0,2.0,True,4+ rings
seletalisib,56928390,6.085378,7.993787,56928390,seletalisib,True,5.0,5.0,0.0,True,4+ rings
erythrosine,3259,10.62929,1.8899218,3259,erythrosine,True,5.0,3.0,2.0,True,4+ rings
mometasone,441335,-3.5413706,4.9115896,441335,mometasone,True,4.0,0.0,4.0,True,4+ rings
evp4593,509554,8.481403,7.412255,509554,evp4593,True,4.0,4.0,0.0,True,4+ rings
pf-06305591,71666749,6.752739,8.395862,71666749,pf-06305591,True,2.0,2.0,0.0,True,2 rings
diperodon,40479653,6.6789427,3.4910817,40479653,diperodon,True,3.0,2.0,1.0,True,3 rings
mephenesin,6931199,9.829227,1.8802253,6931199,mephenesin,True,1.0,1.0,0.0,True,1 ring
tcs-pim-1-1,1235170,8.766824,2.9145854,1235170,tcs-pim-1-1,True,3.0,3.0,0.0,True,3 rings
gw-9508,11595431,9.066734,3.3966997,11595431,gw-9508,True,3.0,3.0,0.0,True,3 rings
ban-orl-24,10296561,7.741348,2.276851,10296561,ban-orl-24,True,5.0,2.0,3.0,True,4+ rings
etrasimod,44623998,7.852807,6.371811,44623998,etrasimod,True,5.0,3.0,2.0,True,4+ rings
bms-626529,11317439,8.325895,7.6223097,11317439,bms-626529,True,5.0,4.0,1.0,True,4+ rings
r-1487,11406590,8.346618,7.480331,11406590,r-1487,True,4.0,3.0,1.0,True,4+ rings
dilmapimod,10297982,6.1495066,7.7280974,10297982,dilmapimod,True,4.0,4.0,0.0,True,4+ rings
dithranol,10187,9.5545025,1.466268,10187,dithranol,True,3.0,3.0,0.0,True,3 rings
etodolac,688461,7.052656,6.2590756,688461,etodolac,True,3.0,2.0,1.0,True,3 rings
ardeparin,100942142,-2.508985,6.6636667,100942142,ardeparin,True,2.0,0.0,2.0,True,2 rings
n-(p-amylcinnamoyl)-anthranilic-acid,5353376,7.969029,3.354654,5353376,n-(p-amylcinnamoyl)-anthranilic-acid,True,2.0,2.0,0.0,True,2 rings
milnacipran,6917779,7.086907,2.2658615,6917779,milnacipran,True,2.0,1.0,1.0,True,2 rings
zamifenacin,3086618,9.943331,2.8236907,3086618,zamifenacin,True,5.0,3.0,2.0,True,4+ rings
rs-67333,183782,9.229122,3.8070781,183782,rs-67333,True,2.0,1.0,1.0,True,2 rings
clozapine,135398737,6.5285163,3.6437223,135398737,clozapine,True,4.0,2.0,2.0,True,4+ rings
pemafibrate,11526038,7.956051,6.5191145,11526038,pemafibrate,True,4.0,4.0,0.0,True,4+ rings
gaboxadol,3448,-1.5249977,6.846986,3448,gaboxadol,True,2.0,1.0,1.0,True,2 rings
ngb-2904,9891901,7.2216496,3.4159906,9891901,ngb-2904,True,5.0,3.0,2.0,True,4+ rings
debrisoquin,2966,6.5735407,2.139998,2966,debrisoquin,True,2.0,1.0,1.0,True,2 rings
bms-582949,10409068,6.4689946,7.900765,10409068,bms-582949,True,4.0,3.0,1.0,True,4+ rings
leucovorin,135398559,7.2784142,3.2446568,135398559,leucovorin,True,3.0,2.0,1.0,True,3 rings
sta-5326,10173277,6.0888653,8.027329,10173277,sta-5326,True,4.0,3.0,1.0,True,4+ rings
digoxigenin,15478,-3.359887,5.2880516,15478,digoxigenin,True,5.0,0.0,5.0,True,4+ rings
tioxolone,72139,9.552941,1.6328863,72139,tioxolone,True,2.0,2.0,0.0,True,2 rings
xl388,59604787,8.111532,7.0725536,59604787,xl388,True,4.0,3.0,1.0,True,4+ rings
ciprofibrate,9882424,9.951554,1.9541268,9882424,ciprofibrate,True,2.0,1.0,1.0,True,2 rings
propylhexedrine,71197,-0.96415794,6.6117525,71197,propylhexedrine,True,1.0,0.0,1.0,True,1 ring
ci-844,200510,7.7575684,6.8332376,200510,ci-844,True,2.0,2.0,0.0,True,2 rings
phenserine,192706,8.918579,3.297465,192706,phenserine,True,4.0,2.0,2.0,True,4+ rings
co-101244,6918409,9.621838,2.4973614,6918409,co-101244,True,3.0,2.0,1.0,True,3 rings
anethole,637563,9.801971,1.9236404,637563,anethole,True,1.0,1.0,0.0,True,1 ring
tranilast,5282230,9.038261,3.5564973,5282230,tranilast,True,2.0,2.0,0.0,True,2 rings
acitazanolast,2006,6.8200183,3.6799412,2006,acitazanolast,True,2.0,2.0,0.0,True,2 rings
acumapimod,11338127,6.3268003,7.455421,11338127,acumapimod,True,4.0,3.0,1.0,True,4+ rings
