compound_1,compound_2,pubchem_cid_1,pubchem_cid_2,morgan_tanimoto,maccs_tanimoto,cactvs_pubchem_tanimoto
isosorbide-dinitrate,edaglitazone,6883.0,76961439.0,0.06493506493506493,0.3561643835616438,0.1336206896551724
isosorbide-dinitrate,cgp-12177,6883.0,76962943.0,0.03278688524590164,0.32,0.1744186046511628
isosorbide-dinitrate,balaglitazone,6883.0,76968728.0,0.04285714285714286,0.34210526315789475,0.14213197969543148
isosorbide-dinitrate,pf-06463922,6883.0,78162481.0,0.05063291139240506,0.25,0.11764705882352941
isosorbide-dinitrate,lorlatinib,6883.0,78162481.0,0.05063291139240506,0.25,0.11764705882352941
isosorbide-dinitrate,cpi-1205,6883.0,78320408.0,0.046511627906976744,0.3132530120481928,0.1111111111111111
isosorbide-dinitrate,aclarubicin,6883.0,86289437.0,0.0594059405940594,0.3157894736842105,0.165
isosorbide-dinitrate,bina,6883.0,86311024.0,0.1,0.2833333333333333,0.15853658536585366
isosorbide-dinitrate,amg-perk-44,6883.0,86583045.0,0.01282051282051282,0.29577464788732394,0.095
isosorbide-dinitrate,wwl-123,6883.0,90209976.0,0.03225806451612903,0.24615384615384617,0.1317365269461078
isosorbide-dinitrate,ab-423,6883.0,90259477.0,0.031746031746031744,0.15476190476190477,0.10625
isosorbide-dinitrate,raf709,6883.0,90408826.0,0.058823529411764705,0.3116883116883117,0.12669683257918551
isosorbide-dinitrate,cu-t12-9,6883.0,91826088.0,0.07936507936507936,0.3235294117647059,0.1076923076923077
isosorbide-dinitrate,fisogatinib,6883.0,91885617.0,0.0759493670886076,0.29069767441860467,0.11328125
isosorbide-dinitrate,bleomycetin,6883.0,92135919.0,0.03184713375796178,0.2967032967032967,0.15261044176706828
isosorbide-dinitrate,ku14r,6883.0,92179136.0,0.03571428571428571,0.2222222222222222,0.1368421052631579
isosorbide-dinitrate,dr-4485,6883.0,92211523.0,0.02702702702702703,0.21518987341772153,0.10285714285714286
isosorbide-dinitrate,gsk429286a,6883.0,92472001.0,0.05405405405405406,0.2375,0.0945273631840796
isosorbide-dinitrate,sb-268262,6883.0,93475590.0,0.07142857142857142,0.3466666666666667,0.12121212121212122
isosorbide-dinitrate,sr-3677,6883.0,93600633.0,0.08,0.36585365853658536,0.14220183486238533
isosorbide-dinitrate,ajmaline,6883.0,98054312.0,0.030303030303030304,0.2602739726027397,0.17159763313609466
isosorbide-dinitrate,ly3200882,6883.0,121249291.0,0.05194805194805195,0.33766233766233766,0.13004484304932734
isosorbide-dinitrate,lazertinib,6883.0,121269225.0,0.06382978723404255,0.30337078651685395,0.10931174089068826
isosorbide-dinitrate,bms-986195,6883.0,121293929.0,0.05333333333333334,0.21176470588235294,0.09547738693467336
isosorbide-dinitrate,atuveciclib,6883.0,121488167.0,0.027777777777777776,0.25,0.11442786069651742
isosorbide-dinitrate,sennoside-a,6883.0,132466065.0,0.057971014492753624,0.36666666666666664,0.1797752808988764
isosorbide-dinitrate,gsk656,6883.0,133080621.0,0.05263157894736842,0.42424242424242425,0.2108843537414966
isosorbide-dinitrate,clozapine,6883.0,135398737.0,0.01639344262295082,0.16883116883116883,0.07926829268292683
isosorbide-dinitrate,valaciclovir,6883.0,135398742.0,0.04477611940298507,0.32926829268292684,0.17123287671232876
isosorbide-dinitrate,zometapine,6883.0,135410917.0,0.016129032258064516,0.21333333333333335,0.0847457627118644
