pubchem_cid_clean,name,pubchem_cid,UMAP1,UMAP2,representation,name_clean,moa_clean,moa_category
10077147,bx-795,10077147.0,7.61565,10.6367,Morgan + MACCS + CACTVS + descriptors,bx-795,IKK inhibitor,Other MoA
10090485,ly2157299,10090485.0,8.07448,10.616668,Morgan + MACCS + CACTVS + descriptors,ly2157299,TGF beta receptor inhibitor,Other MoA
10090750,endoxifen,10090750.0,8.602881,6.4587426,Morgan + MACCS + CACTVS + descriptors,endoxifen,estrogen receptor antagonist,Other MoA
100942142,ardeparin,100942142.0,1.5738115,7.5742974,Morgan + MACCS + CACTVS + descriptors,ardeparin,thrombin inhibitor,Other MoA
10094345,er-50891,10094345.0,8.679191,10.643222,Morgan + MACCS + CACTVS + descriptors,er-50891,retinoid receptor antagonist,Other MoA
10096344,linagliptin,10096344.0,7.583233,11.1321535,Morgan + MACCS + CACTVS + descriptors,linagliptin,dipeptidyl peptidase inhibitor,Other MoA
10099206,lb42708,10099206.0,7.6104193,11.165254,Morgan + MACCS + CACTVS + descriptors,lb42708,farnesyltransferase inhibitor,Other MoA
10106002,cpccoet,10106002.0,8.398891,5.3584614,Morgan + MACCS + CACTVS + descriptors,cpccoet,glutamate receptor antagonist,glutamate receptor antagonist
10107248,nisoxetine,10107248.0,8.787081,6.3435497,Morgan + MACCS + CACTVS + descriptors,nisoxetine,norepinephrine reuptake inhibitor,Other MoA
10113978,pazopanib,10113978.0,7.94354,9.7275095,Morgan + MACCS + CACTVS + descriptors,pazopanib,KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor,Other MoA
10114,enoxolone,10114.0,0.26933363,6.9107375,Morgan + MACCS + CACTVS + descriptors,enoxolone,gap junction modulator,Other MoA
10117987,preladenant,10117987.0,10.040529,9.728401,Morgan + MACCS + CACTVS + descriptors,preladenant,adenosine receptor antagonist,Other MoA
