source,signature_id,signature_compound_query,signature_brd_primary,signature_compound_query_norm
L1000,L1000::tacedinaline::NPC.177::::24H::2.5uM::CEGS001::G15::BRD-K52313696,tacedinaline,brd-k52313696,tacedinaline
L1000,L1000::BIX-01294::NPC.177::::24H::4uM::CEGS001::G02::BRD-K26818574,BIX-01294,brd-k26818574,bix-01294
L1000,L1000::vorinostat::NPC.177::::24H::1.25uM::CEGS001::C22::BRD-K81418486,vorinostat,brd-k81418486,vorinostat
L1000,L1000::BRD-A90543464::NPC.177::::24H::150uM::CEGS001::B19::BRD-A90543464,BRD-A90543464,brd-a90543464,brd-a90543464
L1000,L1000::tretinoin::NPC.177::::24H::1.67uM::CEGS001::K17::BRD-K71879491,tretinoin,brd-k71879491,tretinoin
L1000,L1000::17-AAG::NPC.177::::24H::4uM::CEGS001::C02::BRD-K42840900,17-AAG,brd-k42840900,17-aag
L1000,L1000::I-BET-151::NPC.177::::24H::0.66uM::CEGS001::H11::BRD-K36363294,I-BET-151,brd-k36363294,i-bet-151
L1000,L1000::ruboxistaurin::NPC.177::::24H::2.5uM::CEGS001::P16::BRD-K27677357,ruboxistaurin,brd-k27677357,ruboxistaurin
L1000,L1000::17-AAG::NPC.177::::24H::10uM::CEGS001::C01::BRD-K42840900,17-AAG,brd-k42840900,17-aag
L1000,L1000::BIX-01294::NPC.177::::24H::10uM::CEGS001::G01::BRD-K26818574,BIX-01294,brd-k26818574,bix-01294
L1000,L1000::I-BET-151::NPC.177::::24H::2.5uM::CEGS001::H09::BRD-K36363294,I-BET-151,brd-k36363294,i-bet-151
L1000,L1000::tacedinaline::NPC.177::::24H::4uM::CEGS001::G14::BRD-K52313696,tacedinaline,brd-k52313696,tacedinaline
L1000,L1000::flunarizine::NPC.177::::24H::25uM::CEGS001::C07::BRD-K29582677,flunarizine,brd-k29582677,flunarizine
L1000,L1000::BRD-A26030894::NPC.177::::24H::250uM::CEGS001::N01::BRD-A26030894,BRD-A26030894,brd-a26030894,brd-a26030894
L1000,L1000::I-BET-151::NPC.177::::24H::4uM::CEGS001::H08::BRD-K36363294,I-BET-151,brd-k36363294,i-bet-151
L1000,L1000::valproic-acid::NPC.177::::24H::1250uM::CEGS001::P21::BRD-K41260949,valproic-acid,brd-k41260949,valproic-acid
L1000,L1000::vorinostat::NPC.177::::24H::2.5uM::CEGS001::C21::BRD-K81418486,vorinostat,brd-k81418486,vorinostat
L1000,L1000::vorinostat::NPC.177::::24H::0.3uM::CEGS001::C24::BRD-K81418486,vorinostat,brd-k81418486,vorinostat
L1000,L1000::cordycepin::A549::::24H::0.04uM::REP.A018::L12::BRD-K65428967,cordycepin,brd-k65428967,cordycepin
L1000,L1000::BI-2536::A549::::24H::10uM::REP.A018::I19::BRD-K64890080,BI-2536,brd-k64890080,bi-2536
L1000,L1000::RG-7388::A549::::24H::10uM::REP.A018::C07::BRD-K62627508,RG-7388,brd-k62627508,rg-7388
L1000,L1000::BI-2536::A549::::24H::0.125uM::REP.A018::I23::BRD-K64890080,BI-2536,brd-k64890080,bi-2536
L1000,L1000::BI-2536::A549::::24H::3.33uM::REP.A018::I20::BRD-K64890080,BI-2536,brd-k64890080,bi-2536
L1000,L1000::RG-7388::A549::::24H::3.33uM::REP.A018::C08::BRD-K62627508,RG-7388,brd-k62627508,rg-7388
L1000,L1000::BI-2536::A549::::24H::1.11uM::REP.A018::I21::BRD-K64890080,BI-2536,brd-k64890080,bi-2536
L1000,L1000::BI-2536::A549::::24H::0.37uM::REP.A018::I22::BRD-K64890080,BI-2536,brd-k64890080,bi-2536
L1000,L1000::vorinostat::A375::::24H::20uM::DOSVAL006::G13::BRD-K81418486,vorinostat,brd-k81418486,vorinostat
L1000,L1000::troglitazone::A375::::24H::20uM::DOSVAL006::K10::BRD-A13084692,troglitazone,brd-a13084692,troglitazone
L1000,L1000::vorinostat::A375::::24H::4uM::DOSVAL006::G15::BRD-K81418486,vorinostat,brd-k81418486,vorinostat
L1000,L1000::vorinostat::A375::::24H::10uM::DOSVAL006::G14::BRD-K81418486,vorinostat,brd-k81418486,vorinostat
L1000,L1000::TG-101348::HS578T::::24H::3.33uM::LJP005::L02::BRD-K12502280,TG-101348,brd-k12502280,tg-101348
L1000,L1000::TG-101348::HS578T::::24H::0.04uM::LJP005::L06::BRD-K12502280,TG-101348,brd-k12502280,tg-101348
L1000,L1000::TG-101348::HS578T::::24H::10uM::LJP005::L01::BRD-K12502280,TG-101348,brd-k12502280,tg-101348
L1000,L1000::dasatinib::HS578T::::24H::0.12uM::LJP005::D05::BRD-K49328571,dasatinib,brd-k49328571,dasatinib
L1000,L1000::nilotinib::HS578T::::24H::10uM::LJP005::N13::BRD-K81528515,nilotinib,brd-k81528515,nilotinib
L1000,L1000::dasatinib::HS578T::::24H::1.11uM::LJP005::D03::BRD-K49328571,dasatinib,brd-k49328571,dasatinib
L1000,L1000::erlotinib::HS578T::::24H::10uM::LJP005::M19::BRD-K70401845,erlotinib,brd-k70401845,erlotinib
L1000,L1000::YM-201636::HS578T::::24H::3.33uM::LJP005::N08::BRD-K48488978,YM-201636,brd-k48488978,ym-201636
L1000,L1000::CGP-60474::HS578T::::24H::0.37uM::LJP005::F04::BRD-K79090631,CGP-60474,brd-k79090631,cgp-60474
L1000,L1000::CGP-60474::HS578T::::24H::3.33uM::LJP005::F02::BRD-K79090631,CGP-60474,brd-k79090631,cgp-60474
L1000,L1000::CGP-60474::HS578T::::24H::0.04uM::LJP005::F06::BRD-K79090631,CGP-60474,brd-k79090631,cgp-60474
L1000,L1000::CYT-387::HS578T::::24H::3.33uM::LJP005::P08::BRD-K87737963,CYT-387,brd-k87737963,cyt-387
L1000,L1000::trametinib::HS578T::::24H::0.12uM::LJP005::P23::BRD-K12343256,trametinib,brd-k12343256,trametinib
L1000,L1000::CYT-387::HS578T::::24H::10uM::LJP005::P07::BRD-K87737963,CYT-387,brd-k87737963,cyt-387
L1000,L1000::CGP-60474::HS578T::::24H::0.12uM::LJP005::F05::BRD-K79090631,CGP-60474,brd-k79090631,cgp-60474
L1000,L1000::foretinib::HS578T::::24H::10uM::LJP005::H07::BRD-K03449891,foretinib,brd-k03449891,foretinib
L1000,L1000::SU-11274::HS578T::::24H::10uM::LJP005::J07::BRD-K02965346,SU-11274,brd-k02965346,su-11274
L1000,L1000::PD-184352::HS578T::::24H::10uM::LJP005::L07::BRD-K05104363,PD-184352,brd-k05104363,pd-184352
L1000,L1000::dasatinib::HS578T::::24H::0.37uM::LJP005::D04::BRD-K49328571,dasatinib,brd-k49328571,dasatinib
L1000,L1000::dasatinib::HS578T::::24H::3.33uM::LJP005::D02::BRD-K49328571,dasatinib,brd-k49328571,dasatinib
L1000,L1000::CYT-387::HS578T::::24H::0.04uM::LJP005::P12::BRD-K87737963,CYT-387,brd-k87737963,cyt-387
L1000,L1000::CGP-60474::HS578T::::24H::10uM::LJP005::F01::BRD-K79090631,CGP-60474,brd-k79090631,cgp-60474
L1000,L1000::enzastaurin::HS578T::::24H::10uM::LJP005::D13::BRD-K79404599,enzastaurin,brd-k79404599,enzastaurin
L1000,L1000::trametinib::HS578T::::24H::3.33uM::LJP005::P20::BRD-K12343256,trametinib,brd-k12343256,trametinib
L1000,L1000::LDN-193189::HS578T::::24H::3.33uM::LJP005::G02::BRD-K04853698,LDN-193189,brd-k04853698,ldn-193189
L1000,L1000::vemurafenib::HS578T::::24H::10uM::LJP005::C13::BRD-K56343971,vemurafenib,brd-k56343971,vemurafenib
L1000,L1000::trametinib::HS578T::::24H::0.37uM::LJP005::P22::BRD-K12343256,trametinib,brd-k12343256,trametinib
L1000,L1000::YM-201636::HS578T::::24H::10uM::LJP005::N07::BRD-K48488978,YM-201636,brd-k48488978,ym-201636
L1000,L1000::YM-201636::HS578T::::24H::1.11uM::LJP005::N09::BRD-K48488978,YM-201636,brd-k48488978,ym-201636
L1000,L1000::dasatinib::HS578T::::24H::10uM::LJP005::D01::BRD-K49328571,dasatinib,brd-k49328571,dasatinib
L1000,L1000::BX-912::HS578T::::24H::10uM::LJP005::L19::BRD-K49669041,BX-912,brd-k49669041,bx-912
L1000,L1000::LDN-193189::HS578T::::24H::10uM::LJP005::G01::BRD-K04853698,LDN-193189,brd-k04853698,ldn-193189
L1000,L1000::trametinib::HS578T::::24H::10uM::LJP005::P19::BRD-K12343256,trametinib,brd-k12343256,trametinib
L1000,L1000::vorinostat::HAP1.PIK3CA::::24H::3.33uM::MOAR015::A11::BRD-K81418486,vorinostat,brd-k81418486,vorinostat
L1000,L1000::vorinostat::TMD8::::24H::0.66uM::AICHI001::G15::BRD-K81418486,vorinostat,brd-k81418486,vorinostat
L1000,L1000::midostaurin::TMD8::::24H::2.5uM::AICHI001::F20::BRD-K13646352,midostaurin,brd-k13646352,midostaurin
L1000,L1000::GDC-834::TMD8::::24H::10uM::AICHI001::P07::BRD-K32428408,GDC-834,brd-k32428408,gdc-834
L1000,L1000::GDC-0941::TMD8::::24H::2.5uM::AICHI001::A08::BRD-K52911425,GDC-0941,brd-k52911425,gdc-0941
L1000,L1000::BRD-K16277767::TMD8::::24H::2.5uM::AICHI001::L08::BRD-K16277767,BRD-K16277767,brd-k16277767,brd-k16277767
L1000,L1000::AZ-628::TMD8::::24H::0.66uM::AICHI001::M15::BRD-K05804044,AZ-628,brd-k05804044,az-628
L1000,L1000::BRD-A75976779::TMD8::::24H::10uM::AICHI001::I07::BRD-A75976779,BRD-A75976779,brd-a75976779,brd-a75976779
L1000,L1000::AZ-628::TMD8::::24H::10uM::AICHI001::M13::BRD-K05804044,AZ-628,brd-k05804044,az-628
L1000,L1000::sotrastaurin::TMD8::::24H::10uM::AICHI001::D19::BRD-K16761703,sotrastaurin,brd-k16761703,sotrastaurin
L1000,L1000::midostaurin::TMD8::::24H::10uM::AICHI001::F19::BRD-K13646352,midostaurin,brd-k13646352,midostaurin
L1000,L1000::vorinostat::TMD8::::24H::2.5uM::AICHI001::G14::BRD-K81418486,vorinostat,brd-k81418486,vorinostat
L1000,L1000::CX-4945::TMD8::::24H::10uM::AICHI001::M01::BRD-K81458380,CX-4945,brd-k81458380,cx-4945
L1000,L1000::vorinostat::TMD8::::24H::10uM::AICHI001::G13::BRD-K81418486,vorinostat,brd-k81418486,vorinostat
L1000,L1000::GDC-834::TMD8::::24H::2.5uM::AICHI001::P08::BRD-K32428408,GDC-834,brd-k32428408,gdc-834
L1000,L1000::CX-4945::TMD8::::24H::2.5uM::AICHI001::M02::BRD-K81458380,CX-4945,brd-k81458380,cx-4945
L1000,L1000::GDC-0941::TMD8::::24H::10uM::AICHI001::I13::BRD-K52911425,GDC-0941,brd-k52911425,gdc-0941
L1000,L1000::vorinostat::HCC515::::24H::4uM::DOSVAL002::G15::BRD-K81418486,vorinostat,brd-k81418486,vorinostat
L1000,L1000::vorinostat::HCC515::::24H::10uM::DOSVAL002::G14::BRD-K81418486,vorinostat,brd-k81418486,vorinostat
L1000,L1000::vorinostat::HCC515::::24H::20uM::DOSVAL002::G13::BRD-K81418486,vorinostat,brd-k81418486,vorinostat
L1000,L1000::dasatinib::MCF10A::::24H::0.37uM::REP.A019::L16::BRD-K49328571,dasatinib,brd-k49328571,dasatinib
L1000,L1000::dasatinib::MCF10A::::24H::1.11uM::REP.A019::L15::BRD-K49328571,dasatinib,brd-k49328571,dasatinib
L1000,L1000::dasatinib::MCF10A::::24H::10uM::REP.A019::L13::BRD-K49328571,dasatinib,brd-k49328571,dasatinib
L1000,L1000::dasatinib::MCF10A::::24H::3.33uM::REP.A019::L14::BRD-K49328571,dasatinib,brd-k49328571,dasatinib
L1000,L1000::alvocidib::WI38::::24H::10uM::LUNG001::G07::BRD-K87909389,alvocidib,brd-k87909389,alvocidib
L1000,L1000::gossypol::WI38::::24H::10uM::LUNG001::I14::BRD-K19295594,gossypol,brd-k19295594,gossypol
L1000,L1000::cediranib::WI38::::24H::10uM::LUNG001::E15::BRD-K86930074,cediranib,brd-k86930074,cediranib
L1000,L1000::TPCA-1::WI38::::24H::10uM::LUNG001::N06::BRD-K51575138,TPCA-1,brd-k51575138,tpca-1
L1000,L1000::MK-2206::WI38::::24H::10uM::LUNG001::C12::BRD-K68065987,MK-2206,brd-k68065987,mk-2206
L1000,L1000::navitoclax::WI38::::24H::10uM::LUNG001::L19::BRD-K82746043,navitoclax,brd-k82746043,navitoclax
L1000,L1000::enzastaurin::WI38::::24H::10uM::LUNG001::N13::BRD-K79404599,enzastaurin,brd-k79404599,enzastaurin
L1000,L1000::SB-216763::WI38::::24H::10uM::LUNG001::C10::BRD-K59184148,SB-216763,brd-k59184148,sb-216763
L1000,L1000::saracatinib::WI38::::24H::10uM::LUNG001::O06::BRD-K19540840,saracatinib,brd-k19540840,saracatinib
L1000,L1000::bisindolylmaleimide::WI38::::24H::10uM::LUNG001::K09::BRD-K31342827,bisindolylmaleimide,brd-k31342827,bisindolylmaleimide
L1000,L1000::ispinesib::WI38::::24H::10uM::LUNG001::G17::BRD-K64881305,ispinesib,brd-k64881305,ispinesib
L1000,L1000::BI-2536::WI38::::24H::10uM::LUNG001::L14::BRD-K64890080,BI-2536,brd-k64890080,bi-2536
L1000,L1000::IKK-2-inhibitor-V::WI38::::24H::10uM::LUNG001::L17::BRD-K74305673,IKK-2-inhibitor-V,brd-k74305673,ikk-2-inhibitor-v
L1000,L1000::olaparib::WI38::::24H::10uM::LUNG001::O08::BRD-K02113016,olaparib,brd-k02113016,olaparib
L1000,L1000::mocetinostat::WI38::::24H::10uM::LUNG001::E13::BRD-K16485616,mocetinostat,brd-k16485616,mocetinostat
L1000,L1000::panobinostat::WI38::::24H::10uM::LUNG001::B07::BRD-K02130563,panobinostat,brd-k02130563,panobinostat
L1000,L1000::JNJ-7706621::WI38::::24H::10uM::LUNG001::H19::BRD-K11636097,JNJ-7706621,brd-k11636097,jnj-7706621
L1000,L1000::midostaurin::WI38::::24H::10uM::LUNG001::K05::BRD-K13646352,midostaurin,brd-k13646352,midostaurin
L1000,L1000::masitinib::WI38::::24H::10uM::LUNG001::C19::BRD-K71035033,masitinib,brd-k71035033,masitinib
L1000,L1000::PP-1::WI38::::24H::10uM::LUNG001::K07::BRD-K47598052,PP-1,brd-k47598052,pp-1
L1000,L1000::NVP-TAE684::WI38::::24H::10uM::LUNG001::C21::BRD-K50140147,NVP-TAE684,brd-k50140147,nvp-tae684
L1000,L1000::ABT-737::WI38::::24H::10uM::LUNG001::I16::BRD-K56301217,ABT-737,brd-k56301217,abt-737
L1000,L1000::BCI-hydrochloride::WI38::::24H::10uM::LUNG001::D03::BRD-A11007541,BCI-hydrochloride,brd-a11007541,bci-hydrochloride
L1000,L1000::alvocidib::HA1E::::24H::3.33uM::LJP006::A14::BRD-K87909389,alvocidib,brd-k87909389,alvocidib
L1000,L1000::MK-2206::HA1E::::24H::0.12uM::LJP006::F05::BRD-K68065987,MK-2206,brd-k68065987,mk-2206
L1000,L1000::alvocidib::HA1E::::24H::0.12uM::LJP006::A17::BRD-K87909389,alvocidib,brd-k87909389,alvocidib
L1000,L1000::Y-39983::HA1E::::24H::0.37uM::LJP006::P04::BRD-K56751279,Y-39983,brd-k56751279,y-39983
L1000,L1000::saracatinib::HA1E::::24H::3.33uM::LJP006::D08::BRD-K19540840,saracatinib,brd-k19540840,saracatinib
L1000,L1000::PD-173074::HA1E::::24H::3.33uM::LJP006::I08::BRD-K97764662,PD-173074,brd-k97764662,pd-173074
L1000,L1000::alvocidib::HA1E::::24H::0.04uM::LJP006::A18::BRD-K87909389,alvocidib,brd-k87909389,alvocidib
L1000,L1000::BI-2536::HA1E::::24H::1.11uM::LJP006::D15::BRD-K64890080,BI-2536,brd-k64890080,bi-2536
L1000,L1000::PD-173074::HA1E::::24H::10uM::LJP006::I07::BRD-K97764662,PD-173074,brd-k97764662,pd-173074
L1000,L1000::AS-605240::HA1E::::24H::3.33uM::LJP006::O08::BRD-K41895714,AS-605240,brd-k41895714,as-605240
L1000,L1000::CGP-60474::HA1E::::24H::0.37uM::LJP006::G04::BRD-K79090631,CGP-60474,brd-k79090631,cgp-60474
L1000,L1000::PI-103::HA1E::::24H::10uM::LJP006::I13::BRD-K67868012,PI-103,brd-k67868012,pi-103
L1000,L1000::XMD-1185H::HA1E::::24H::0.12uM::LJP006::P23::BRD-U22633929,XMD-1185H,brd-u22633929,xmd-1185h
L1000,L1000::NVP-TAE684::HA1E::::24H::3.33uM::LJP006::K14::BRD-K50140147,NVP-TAE684,brd-k50140147,nvp-tae684
L1000,L1000::lapatinib::HA1E::::24H::10uM::LJP006::M19::BRD-K19687926,lapatinib,brd-k19687926,lapatinib
L1000,L1000::dasatinib::HA1E::::24H::1.11uM::LJP006::I03::BRD-K49328571,dasatinib,brd-k49328571,dasatinib
L1000,L1000::BI-2536::HA1E::::24H::3.33uM::LJP006::D14::BRD-K64890080,BI-2536,brd-k64890080,bi-2536
L1000,L1000::AZD-7762::HA1E::::24H::1.11uM::LJP006::L03::BRD-K46056750,AZD-7762,brd-k46056750,azd-7762
L1000,L1000::WZ-4-145::HA1E::::24H::10uM::LJP006::J19::BRD-U61997977,WZ-4-145,brd-u61997977,wz-4-145
L1000,L1000::WZ-4-145::HA1E::::24H::0.37uM::LJP006::J22::BRD-U61997977,WZ-4-145,brd-u61997977,wz-4-145
L1000,L1000::alvocidib::HA1E::::24H::0.37uM::LJP006::A16::BRD-K87909389,alvocidib,brd-k87909389,alvocidib
L1000,L1000::Y-39983::HA1E::::24H::0.12uM::LJP006::P05::BRD-K56751279,Y-39983,brd-k56751279,y-39983
L1000,L1000::NVP-TAE684::HA1E::::24H::1.11uM::LJP006::K15::BRD-K50140147,NVP-TAE684,brd-k50140147,nvp-tae684
L1000,L1000::BI-2536::HA1E::::24H::0.12uM::LJP006::D17::BRD-K64890080,BI-2536,brd-k64890080,bi-2536
L1000,L1000::BI-2536::HA1E::::24H::10uM::LJP006::D13::BRD-K64890080,BI-2536,brd-k64890080,bi-2536
L1000,L1000::XMD-1185H::HA1E::::24H::10uM::LJP006::P19::BRD-U22633929,XMD-1185H,brd-u22633929,xmd-1185h
L1000,L1000::CGP-60474::HA1E::::24H::3.33uM::LJP006::G02::BRD-K79090631,CGP-60474,brd-k79090631,cgp-60474
L1000,L1000::WZ-4-145::HA1E::::24H::0.12uM::LJP006::J23::BRD-U61997977,WZ-4-145,brd-u61997977,wz-4-145
L1000,L1000::saracatinib::HA1E::::24H::0.12uM::LJP006::D11::BRD-K19540840,saracatinib,brd-k19540840,saracatinib
L1000,L1000::BI-2536::HA1E::::24H::0.04uM::LJP006::D18::BRD-K64890080,BI-2536,brd-k64890080,bi-2536
L1000,L1000::CGP-60474::HA1E::::24H::0.12uM::LJP006::G05::BRD-K79090631,CGP-60474,brd-k79090631,cgp-60474
L1000,L1000::AZD-7762::HA1E::::24H::0.04uM::LJP006::L06::BRD-K46056750,AZD-7762,brd-k46056750,azd-7762
L1000,L1000::NVP-TAE684::HA1E::::24H::10uM::LJP006::K13::BRD-K50140147,NVP-TAE684,brd-k50140147,nvp-tae684
L1000,L1000::MK-2206::HA1E::::24H::10uM::LJP006::F01::BRD-K68065987,MK-2206,brd-k68065987,mk-2206
L1000,L1000::AS-605240::HA1E::::24H::0.04uM::LJP006::O12::BRD-K41895714,AS-605240,brd-k41895714,as-605240
L1000,L1000::dasatinib::HA1E::::24H::0.04uM::LJP006::I06::BRD-K49328571,dasatinib,brd-k49328571,dasatinib
L1000,L1000::CGP-60474::HA1E::::24H::10uM::LJP006::G01::BRD-K79090631,CGP-60474,brd-k79090631,cgp-60474
L1000,L1000::AZD-7762::HA1E::::24H::0.37uM::LJP006::L04::BRD-K46056750,AZD-7762,brd-k46056750,azd-7762
L1000,L1000::CGP-60474::HA1E::::24H::0.04uM::LJP006::G06::BRD-K79090631,CGP-60474,brd-k79090631,cgp-60474
L1000,L1000::alvocidib::HA1E::::24H::10uM::LJP006::A13::BRD-K87909389,alvocidib,brd-k87909389,alvocidib
L1000,L1000::WZ-4-145::HA1E::::24H::1.11uM::LJP006::J21::BRD-U61997977,WZ-4-145,brd-u61997977,wz-4-145
L1000,L1000::Y-39983::HA1E::::24H::10uM::LJP006::P01::BRD-K56751279,Y-39983,brd-k56751279,y-39983
L1000,L1000::AZD-7762::HA1E::::24H::0.12uM::LJP006::L05::BRD-K46056750,AZD-7762,brd-k46056750,azd-7762
L1000,L1000::dasatinib::HA1E::::24H::10uM::LJP006::I01::BRD-K49328571,dasatinib,brd-k49328571,dasatinib
L1000,L1000::AZD-7762::HA1E::::24H::3.33uM::LJP006::L02::BRD-K46056750,AZD-7762,brd-k46056750,azd-7762
L1000,L1000::saracatinib::HA1E::::24H::10uM::LJP006::D07::BRD-K19540840,saracatinib,brd-k19540840,saracatinib
L1000,L1000::selumetinib::HA1E::::24H::10uM::LJP006::M07::BRD-K57080016,selumetinib,brd-k57080016,selumetinib
L1000,L1000::dasatinib::HA1E::::24H::0.12uM::LJP006::I05::BRD-K49328571,dasatinib,brd-k49328571,dasatinib
L1000,L1000::PI-103::HA1E::::24H::3.33uM::LJP006::I14::BRD-K67868012,PI-103,brd-k67868012,pi-103
L1000,L1000::alvocidib::HA1E::::24H::1.11uM::LJP006::A15::BRD-K87909389,alvocidib,brd-k87909389,alvocidib
L1000,L1000::NVP-TAE684::HA1E::::24H::0.37uM::LJP006::K16::BRD-K50140147,NVP-TAE684,brd-k50140147,nvp-tae684
L1000,L1000::BI-2536::HA1E::::24H::0.37uM::LJP006::D16::BRD-K64890080,BI-2536,brd-k64890080,bi-2536
L1000,L1000::AZD-7762::HA1E::::24H::10uM::LJP006::L01::BRD-K46056750,AZD-7762,brd-k46056750,azd-7762
L1000,L1000::GDC-0941::HA1E::::24H::10uM::LJP006::D19::BRD-K52911425,GDC-0941,brd-k52911425,gdc-0941
L1000,L1000::GDC-0941::HA1E::::24H::0.37uM::LJP006::D22::BRD-K52911425,GDC-0941,brd-k52911425,gdc-0941
L1000,L1000::gefitinib::HA1E::::24H::3.33uM::LJP006::N08::BRD-K64052750,gefitinib,brd-k64052750,gefitinib
L1000,L1000::saracatinib::HA1E::::24H::1.11uM::LJP006::D09::BRD-K19540840,saracatinib,brd-k19540840,saracatinib
L1000,L1000::WZ-4-145::HA1E::::24H::3.33uM::LJP006::J20::BRD-U61997977,WZ-4-145,brd-u61997977,wz-4-145
L1000,L1000::gefitinib::HA1E::::24H::10uM::LJP006::N07::BRD-K64052750,gefitinib,brd-k64052750,gefitinib
L1000,L1000::dasatinib::HA1E::::24H::0.37uM::LJP006::I04::BRD-K49328571,dasatinib,brd-k49328571,dasatinib
L1000,L1000::tipifarnib-P2::HA1E::::24H::10uM::REP.A017::F19::BRD-K62965247,tipifarnib-P2,brd-k62965247,tipifarnib-p2
L1000,L1000::prazosin::HA1E::::24H::10uM::REP.A017::D19::BRD-K49111258,prazosin,brd-k49111258,prazosin
L1000,L1000::tipifarnib-P2::HA1E::::24H::0.125uM::REP.A017::F23::BRD-K62965247,tipifarnib-P2,brd-k62965247,tipifarnib-p2
L1000,L1000::ORE-1001::HA1E::::24H::0.37uM::REP.A017::L22::BRD-K67068943,ORE-1001,brd-k67068943,ore-1001
L1000,L1000::GDC-0199::HA1E::::24H::10uM::REP.A017::G01::BRD-K62391742,GDC-0199,brd-k62391742,gdc-0199
L1000,L1000::gabapentin::HA1E::::24H::0.04uM::REP.A017::M24::BRD-K62737565,gabapentin,brd-k62737565,gabapentin
L1000,L1000::oxybutynin::HA1E::::24H::1.11uM::REP.A017::I21::BRD-A65013509,oxybutynin,brd-a65013509,oxybutynin
L1000,L1000::GDC-0199::HA1E::::24H::0.04uM::REP.A017::G06::BRD-K62391742,GDC-0199,brd-k62391742,gdc-0199
L1000,L1000::ORE-1001::HA1E::::24H::0.125uM::REP.A017::L23::BRD-K67068943,ORE-1001,brd-k67068943,ore-1001
L1000,L1000::tipifarnib-P2::HA1E::::24H::1.11uM::REP.A017::F21::BRD-K62965247,tipifarnib-P2,brd-k62965247,tipifarnib-p2
L1000,L1000::pirenoxine::HA1E::::24H::0.125uM::REP.A017::L05::BRD-K65992024,pirenoxine,brd-k65992024,pirenoxine
L1000,L1000::BI-2536::HAP1.TP53::::24H::0.66uM::MOAR013::L22::BRD-K64890080,BI-2536,brd-k64890080,bi-2536
L1000,L1000::ACY-1215::HAP1.TP53::::24H::3.33uM::MOAR013::E21::BRD-K82928847,ACY-1215,brd-k82928847,acy-1215
L1000,L1000::TG-101348::HAP1.TP53::::24H::3.33uM::MOAR013::I21::BRD-K12502280,TG-101348,brd-k12502280,tg-101348
L1000,L1000::tacedinaline::HAP1.TP53::::24H::3.33uM::MOAR013::J21::BRD-K52313696,tacedinaline,brd-k52313696,tacedinaline
L1000,L1000::BI-2536::HAP1.TP53::::24H::3.33uM::MOAR013::L21::BRD-K64890080,BI-2536,brd-k64890080,bi-2536
L1000,L1000::UNC-0638::THP1::::24H::10uM::LJP008::M07::BRD-K86856088,UNC-0638,brd-k86856088,unc-0638
L1000,L1000::MK-1775::THP1::::24H::3.33uM::LJP008::A20::BRD-K54256913,MK-1775,brd-k54256913,mk-1775
L1000,L1000::I-BET-151::THP1::::24H::0.04uM::LJP008::K06::BRD-K36363294,I-BET-151,brd-k36363294,i-bet-151
L1000,L1000::ABT-737::THP1::::24H::10uM::LJP008::E01::BRD-K56301217,ABT-737,brd-k56301217,abt-737
L1000,L1000::mocetinostat::THP1::::24H::0.12uM::LJP008::I11::BRD-K16485616,mocetinostat,brd-k16485616,mocetinostat
L1000,L1000::vorinostat::THP1::::24H::3.33uM::LJP008::G08::BRD-K81418486,vorinostat,brd-k81418486,vorinostat
L1000,L1000::vorinostat::THP1::::24H::10uM::LJP008::A03::BRD-K81418486,vorinostat,brd-k81418486,vorinostat
L1000,L1000::KU-55933::THP1::::24H::3.33uM::LJP008::B14::BRD-K25311561,KU-55933,brd-k25311561,ku-55933
L1000,L1000::resveratrol::THP1::::24H::10uM::LJP008::M01::BRD-K80738081,resveratrol,brd-k80738081,resveratrol
L1000,L1000::I-BET-762::THP1::::24H::0.37uM::LJP008::I04::BRD-K08109215,I-BET-762,brd-k08109215,i-bet-762
L1000,L1000::dasatinib::THP1::::24H::10uM::LJP008::G13::BRD-K49328571,dasatinib,brd-k49328571,dasatinib
L1000,L1000::olaparib::THP1::::24H::10uM::LJP008::D01::BRD-K02113016,olaparib,brd-k02113016,olaparib
L1000,L1000::mocetinostat::THP1::::24H::10uM::LJP008::I07::BRD-K16485616,mocetinostat,brd-k16485616,mocetinostat
L1000,L1000::I-BET-151::THP1::::24H::3.33uM::LJP008::K02::BRD-K36363294,I-BET-151,brd-k36363294,i-bet-151
L1000,L1000::I-BET-762::THP1::::24H::3.33uM::LJP008::I02::BRD-K08109215,I-BET-762,brd-k08109215,i-bet-762
L1000,L1000::mocetinostat::THP1::::24H::0.37uM::LJP008::I10::BRD-K16485616,mocetinostat,brd-k16485616,mocetinostat
L1000,L1000::PFI-1::THP1::::24H::1.11uM::LJP008::G03::BRD-K13094524,PFI-1,brd-k13094524,pfi-1
L1000,L1000::vorinostat::THP1::::24H::10uM::LJP008::G07::BRD-K81418486,vorinostat,brd-k81418486,vorinostat
L1000,L1000::mocetinostat::THP1::::24H::1.11uM::LJP008::I09::BRD-K16485616,mocetinostat,brd-k16485616,mocetinostat
L1000,L1000::ACY-1215::THP1::::24H::3.33uM::LJP008::F02::BRD-K82928847,ACY-1215,brd-k82928847,acy-1215
L1000,L1000::ABT-737::THP1::::24H::3.33uM::LJP008::E02::BRD-K56301217,ABT-737,brd-k56301217,abt-737
L1000,L1000::I-BET-762::THP1::::24H::1.11uM::LJP008::I03::BRD-K08109215,I-BET-762,brd-k08109215,i-bet-762
