compound_embedding_row_index,compound_name,n_profiles,source_normalized_inverted_score
5,Pralatrexate; pralatrexate,89,0.9354466145908806
6372,MLN-9708; Mln9708,86,0.934837399200004
998,CYT-997; Lexibulin,85,0.934473538218865
736,Thapsigargin; thapsigargin,84,0.933537300649909
4757,alvespimycin,111,0.9787443935123648
747,"1-(4-(4-propionylpiperazin-1-yl)-3-(trifluoromethyl)phenyl)-9-(quinolin-3-yl)benzo(h)(1,6)naphthyridin-2(1H)-one; torin-1",165,0.9315128067172488
1443,BRD-K89997465; Chlorpromazine,55,0.9319946068789338
631,(S)-Crizotinib; Crizotinib; crizotinib,460,0.9537750937930022
743,"(3S,6S,9S,12R)-3-[(2S)-butan-2-yl]-6-[(1-methoxyindol-3-yl)methyl]-9-(6-oxooctyl)-1,4,7,10-tetrazabicyclo[10.4.0]hexadecane-2,5,8,11-tetrone; Apicidin",92,0.9352989936573622
527,Triptolide (PG490); triptolide,127,0.9325779055333792
457,Delanzomib; delanzomib,92,0.9233134340611
1471,Abexinostat; PCI-24781,117,0.9791201853585024
5349,"bruceantin; methyl (1R,2S,3R,6R,8S,13S,14R,15R,16S,17S)-3-[(E)-3,4-dimethylpent-2-enoyl]oxy-15,16-dihydroxy-9,13-dimethyl-4,10,11-trioxo-5,18-dioxapentacyclo[12.5.0.01,6.02,17.08,13]nonadecane-17-carboxylate",82,0.9364466015090166
3502,Cladribine; cladribine,53,0.9205964727394622
575,TW-37,136,0.9203560332045652
1703,Genz-644282; genz-644282,78,0.91984713438195
