name,pubchem_cid,smiles,valid_smiles,has_metal,metal_count,metal_symbols,metal_category
pivmecillinam,,CC(C)(C)C(=O)OCOC(=O)[C@@H]1N2[C@H](SC1(C)C)[C@H](\N=C\N1CCCCCC1)C2=O,True,False,0,,No metal
lercanidipine,9809926,"COC(=O)C1=C(C)NC(C)=C([C@@H]1c1cccc(c1)[N+]([O-])=O)C(=O)OC(C)(C)CN(C)CCC(c1ccccc1)c1ccccc1 |r,c:4,9|",True,False,0,,No metal
asp-9521,25210792,COc1ccc2[nH]c(cc2c1)C(=O)N1CCC(CC(C)(C)O)CC1,True,False,0,,No metal
sb-452533,9842609,CCN(CCNC(=O)Nc1ccccc1Br)c1cccc(C)c1,True,False,0,,No metal
resibufogenin,6917974,C[C@]12CC[C@H]3[C@@H](CC[C@@H]4C[C@@H](O)CC[C@]34C)[C@]11O[C@@H]1C[C@@H]2c1ccc(=O)oc1,True,False,0,,No metal
vinburnine,71203,CC[C@@]12CCCN3CCc4c([C@H]13)n(C(=O)C2)c1ccccc41,True,False,0,,No metal
kl-001,1367681,"CS(=O)(=O)N(C[C@@H](O)Cn1c2ccccc2c2ccccc12)Cc1ccco1 |&1:6,r|",True,False,0,,No metal
fenspiride,3344,O=C1NCC2(CCN(CCc3ccccc3)CC2)O1,True,False,0,,No metal
rimcazole,53389,C[C@H]1CN(CCCn2c3ccccc3c3ccccc23)C[C@@H](C)N1,True,False,0,,No metal
cgp-78608,6604872,C[C@@H](NCc1cc(Br)cc2[nH]c(=O)c(=O)[nH]c12)P(O)(O)=O,True,False,0,,No metal
mn-64,2802462,CC(C)c1ccc(cc1)-c1cc(=O)c2ccccc2o1,True,False,0,,No metal
liraglutide,16153050,CCCCCCCCCCCCCCCC(=O)N[C@@H](CCC(=O)NCCCC[C@H](NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CCC(N)=O)NC(=O)CNC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)CNC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](C)NC(=O)[C@@H](N)Cc1cnc[nH]1)[C@@H](C)O)[C@@H](C)O)C(C)C)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CCCNC(N)=N)C(=O)NCC(=O)N[C@@H](CCCNC(N)=N)C(=O)NCC(O)=O)C(O)=O,True,False,0,,No metal
inarigivir,,"CO[C@@H]1[C@H](O[P@](S)(=O)OC[C@H]2O[C@H](C[C@@H]2O)n2cnc3c(N)ncnc23)[C@@H](CO)O[C@H]1n1ccc(=O)[nH]c1=O |a:2,3,10,12,14,26,30,&1:5|",True,False,0,,No metal
bexagliflozin,25195624,OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)c1ccc(Cl)c(Cc2ccc(OCCOC3CC3)cc2)c1,True,False,0,,No metal
cinobufotalin,259776,[H][C@@]12CC[C@]3(O)C[C@@H](O)CC[C@]3(C)[C@@]1([H])CC[C@]1(C)[C@H]([C@@H](OC(C)=O)[C@H]3O[C@@]213)c1ccc(=O)oc1,True,False,0,,No metal
alisertib,24771867,COc1cc(Nc2ncc3CN=C(c4cc(Cl)ccc4-c3n2)c2c(F)cccc2OC)ccc1C(O)=O |c:11|,True,False,0,,No metal
butibufen,71314316,"CC[C@@H](C(O)=O)c1ccc(CC(C)C)cc1 |&1:2,r|",True,False,0,,No metal
miridesap,125516,OC(=O)[C@H]1CCCN1C(=O)CCCCC(=O)N1CCC[C@@H]1C(O)=O,True,False,0,,No metal
efaroxan,11957548,CCC1(Cc2ccccc2O1)C1=NCCN1,True,False,0,,No metal
am-580,2126,CC1(C)CCC(C)(C)c2cc(ccc12)C(=O)Nc1ccc(cc1)C(O)=O,True,False,0,,No metal
l-152804,969478,"CC1(C)CC(=O)C([C@@H]2C3=C(CC(C)(C)CC3=O)Oc3ccccc23)C(=O)C1 |&1:7,r,t:8|",True,False,0,,No metal
a61603,6604803,"CS(=O)(=O)Nc1c(O)ccc2[C@@H](CCCc12)C1=NCCN1 |r,t:18|",True,False,0,,No metal
tangeritin,68077,COc1ccc(cc1)-c1cc(=O)c2c(OC)c(OC)c(OC)c(OC)c2o1,True,False,0,,No metal
kaempferol,5280863,Oc1ccc(cc1)-c1oc2cc(O)cc(O)c2c(=O)c1O,True,False,0,,No metal
nialamide,4472,O=C(CCNNC(=O)c1ccncc1)NCc1ccccc1,True,False,0,,No metal
efatutazone,76962475,Cc1cc(Oc2ccc3nc(COc4ccc(C[C@H]5SC(=O)NC5=O)cc4)n(C)c3c2)cc(C)c1N |r|,True,False,0,,No metal
doxercalciferol,46931009,CC(C)[C@H](C)\C=C\[C@@H](C)[C@H]1CC[C@H]2\C(CCC[C@]12C)=C\C=C1/C[C@@H](O)C[C@H](O)C1=C,True,False,0,,No metal
